event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2012dn,56120.7,15.366,0.088,F,R,CCD,1.05m MITSuME,2016PASJ...68...68Y
SN2012dn,56120.7,15.407,0.107,F,g',CCD,1.05m MITSuME,2016PASJ...68...68Y
SN2012dn,56120.78,15.447,0.013,F,B,,,2014MNRAS.443.1663C
SN2012dn,56120.78,15.182,0.028,F,I,,,2014MNRAS.443.1663C
SN2012dn,56120.78,15.271,0.006,F,R,,,2014MNRAS.443.1663C
SN2012dn,56120.78,14.863,0.030,F,U,,,2014MNRAS.443.1663C
SN2012dn,56120.78,15.378,0.011,F,V,,,2014MNRAS.443.1663C
SN2012dn,56120.8,15.09,0.04,F,H,SIRIUS,1.4m IRSF,2016PASJ...68...68Y
SN2012dn,56120.8,15.09,0.04,F,J,SIRIUS,1.4m IRSF,2016PASJ...68...68Y
SN2012dn,56120.8,15.04,0.09,F,Ks,SIRIUS,1.4m IRSF,2016PASJ...68...68Y
SN2012dn,56121.1303,14.328,0.046,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2012dn,56121.1313,15.340,0.052,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2012dn,56121.1333,16.450,0.091,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2012dn,56121.1419,15.377,0.064,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2012dn,56121.7,15.2,0.088,F,R,CCD,1.05m MITSuME,2016PASJ...68...68Y
SN2012dn,56121.7,15.162,0.107,F,g',CCD,1.05m MITSuME,2016PASJ...68...68Y
SN2012dn,56122.6,15.172,0.016,F,B,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56122.6,14.879,0.025,F,I,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56122.6,14.974,0.025,F,R,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56122.6,14.513,0.098,F,U,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56122.6,15.005,0.013,F,V,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56122.80,15.021,0.024,F,B,,,2014MNRAS.443.1663C
SN2012dn,56122.80,14.835,0.027,F,I,,,2014MNRAS.443.1663C
SN2012dn,56122.80,14.892,0.026,F,R,,,2014MNRAS.443.1663C
SN2012dn,56122.80,14.383,0.038,F,U,,,2014MNRAS.443.1663C
SN2012dn,56122.80,14.962,0.011,F,V,,,2014MNRAS.443.1663C
SN2012dn,56123.6,14.99,0.016,F,B,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56123.6,15.024,0.022,F,B,ST-10XME CCD,0.51m telescope,2016PASJ...68...68Y
SN2012dn,56123.6,14.723,0.038,F,I,CCD,0.5m MITSuME,2016PASJ...68...68Y
SN2012dn,56123.6,14.759,0.026,F,I,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56123.6,14.801,0.04,F,I,CCD,0.5m MITSuME,2016PASJ...68...68Y
SN2012dn,56123.6,14.052,0.025,F,R,ST-10XME CCD,0.51m telescope,2016PASJ...68...68Y
SN2012dn,56123.6,14.806,0.031,F,R,CCD,0.5m MITSuME,2016PASJ...68...68Y
SN2012dn,56123.6,14.834,0.033,F,R,CCD,0.5m MITSuME,2016PASJ...68...68Y
SN2012dn,56123.6,14.841,0.025,F,R,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56123.6,14.379,0.098,F,U,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56123.6,14.856,0.011,F,V,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56123.6,14.821,0.03,F,g',CCD,0.5m MITSuME,2016PASJ...68...68Y
SN2012dn,56123.6,14.83,0.031,F,g',CCD,0.5m MITSuME,2016PASJ...68...68Y
SN2012dn,56123.7,14.883,0.088,F,R,CCD,1.05m MITSuME,2016PASJ...68...68Y
SN2012dn,56123.7,14.838,0.107,F,g',CCD,1.05m MITSuME,2016PASJ...68...68Y
SN2012dn,56124.6,14.881,0.017,F,B,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56124.6,14.666,0.026,F,I,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56124.6,14.726,0.035,F,R,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56124.6,14.262,0.1,F,U,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56124.6,14.747,0.013,F,V,MSI,1.6m Pirka,2016PASJ...68...68Y
SN2012dn,56124.6,14.544,0.025,F,g',CCD,0.5m MITSuME,2016PASJ...68...68Y
SN2012dn,56124.7,14.791,0.03,F,B,ST-10XME CCD,0.51m telescope,2016PASJ...68...68Y
SN2012dn,56124.7,14.655,0.036,F,I,ST-10XME CCD,0.51m telescope,2016PASJ...68...68Y
SN2012dn,56124.7,14.664,0.044,F,I,CCD,0.5m MITSuME,2016PASJ...68...68Y
SN2012dn,56124.7,14.696,0.025,F,R,ST-10XME CCD,0.51m telescope,2016PASJ...68...68Y
SN2012dn,56124.7,14.748,0.037,F,R,CCD,0.5m MITSuME,2016PASJ...68...68Y
SN2012dn,56124.7,14.74,0.023,F,V,ST-10XME CCD,0.51m telescope,2016PASJ...68...68Y
SN2012dn,56124.7,14.606,0.04,F,g',CCD,0.5m MITSuME,2016PASJ...68...68Y
SN2012dn,56124.7018,14.829,0.063,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2012dn,56124.7028,13.788,0.044,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2012dn,56124.7035,14.733,0.046,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2012dn,56124.7063,16.052,0.084,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2012dn,56124.7077,14.702,0.059,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2012dn,56124.7118,15.876,0.072,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2012dn,56124.78,14.747,0.008,F,B,,,2014MNRAS.443.1663C
