#    \title[Supernova 2013by: A Type IIL Supernova with a IIP-like light curve drop
#    \author[Valenti et al]{}
2013-04-24 &  2456407.372 &  12.763 0.070 & $uw2$ &  $Swift$ & 2013-06-04 &  2456448.092 &  16.409 0.070 & $U$ &  $Swift$ \\ 
2013-04-30 &  2456413.176 &  14.084 0.073 & $uw2$ &  $Swift$ & 2013-06-21 &  2456464.719 &  17.533 0.095 & $U$ &  $Swift$ \\ 
2013-05-09 &  2456422.406 &  16.076 0.089 & $uw2$ &  $Swift$ & 2013-06-24 &  2456467.659 &  17.680 0.114 & $U$ &  $Swift$ \\ 
2013-05-10 &  2456423.475 &  16.314 0.092 & $uw2$ &  $Swift$ & 2013-06-29 &  2456472.541 &  17.914 0.094 & $U$ &  $Swift$ \\ 
2013-05-12 &  2456425.345 &  16.908 0.102 & $uw2$ &  $Swift$ & 2013-07-03 &  2456477.411 &  18.643 0.106 & $U$ &  $Swift$ \\ 
2013-05-23 &  2456435.884 &  18.169 0.103 & $uw2$ &  $Swift$ & 2013-07-07 &  2456481.348 &  17.990 0.105 & $U$ &  $Swift$ \\ 
2013-05-26 &  2456439.121 &  18.410 0.095 & $uw2$ &  $Swift$ & 2013-07-11 &  2456485.430 &  18.652 0.120 & $U$ &  $Swift$ \\ 
2013-05-29 &  2456441.826 &  18.778 0.109 & $uw2$ &  $Swift$ & 2013-04-24 &  2456407.370 &  13.753 0.047 & $B$ &  $Swift$ \\ 
2013-06-04 &  2456448.096 &  18.794 0.108 & $uw2$ &  $Swift$ & 2013-05-23 &  2456435.882 &  14.753 0.048 & $B$ &  $Swift$ \\ 
2013-06-21 &  2456464.722 &  19.259 0.119 & $uw2$ &  $Swift$ & 2013-05-26 &  2456439.119 &  14.966 0.047 & $B$ &  $Swift$ \\ 
2013-06-24 &  2456467.661 &  20.678 0.153 & $uw2$ &  $Swift$ & 2013-05-29 &  2456441.823 &  15.112 0.049 & $B$ &  $Swift$ \\ 
